Apartmán,Booking_URL
Apartmány Enjoy Downtown 12 (SB12),https://www.booking.com/hotel/cz/enjoy-downtown-boutique-apartments-12-by-goodnite-cz.cs.html
Apartmány Enjoy Downtown 13 (SB13),https://www.booking.com/hotel/cz/enjoy-downtown-apartments.cs.html
Apartmány Enjoy Downtown – Zelný trh (Zelný trh 11),https://www.booking.com/hotel/cz/apartments-zelny-trh-brno.cs.html
Prezidentské butikové apartmány Enjoy Downtown (Mečová 8),https://www.booking.com/hotel/cz/president-mezonet-apartment-brno.cs.html
Butikový apartmán Coco Chanel (Mečová 4),https://www.booking.com/hotel/cz/coco-chanel-boutique-apartment.cs.html
Terrace Botique Apartment (Veveří 14),https://www.booking.com/hotel/cz/panorama-apartment-by-goodnite-cz.cs.html
Apartmány Great Chill (Králova 11),https://www.booking.com/hotel/cz/boutique-chill-apartments-br-no-11.cs.html
Apartmány Orange Glow (Úvoz 47),https://www.booking.com/hotel/cz/boutique-city-apartments-br-no-47.cs.html
Old Town Apartment Spilberk (Úvoz 52),https://www.booking.com/hotel/cz/old-town-apartment-spilberk.cs.html
Penzion Expo Dream (Křížkovského 33),https://www.booking.com/hotel/cz/expo-living-33.cs.html
Apartmány Expo Dream Veletržní (Veletržní 5),https://www.booking.com/hotel/cz/veletrzni-boutique-apartments.cs.html
Hotel Botanica,https://www.booking.com/hotel/cz/botanica-by-goodnite-cz.cs.html
Hotel Riverside,https://www.booking.com/hotel/cz/riverside-by-goodnite.cs.html
Penzion Village Peace (Líšeň),https://www.booking.com/hotel/cz/penzion-u-libusky-29-brno-living-cz.cs.html
Sky Apartments Vlhká,https://www.booking.com/hotel/cz/modern-panorama-residence.cs.html
